OB_SECCODE_0007,OB_SECNAME_0007
600670,*ST斯 达
600603,ST兴  业
600105,永鼎股份
600971,恒源煤电
600667,太极实业
600162,香江控股
600883,博闻科技
600390,金瑞科技
600282,南钢股份
600981,江苏开元
600291,西水股份
600420,现代制药
600503,华丽家族
600753,东方银星
600854,ST春 兰
600696,多伦股份
600665,天地源
600033,福建高速
600545,新疆城建
601718,际华集团
600074,中达股份
600999,招商证券
601717,郑煤机
600591,*ST上航
601101,昊华能源
600115,东方航空
600663,陆家嘴
600086,东方金钰
601188,龙江交通
600009,上海机场
600060,海信电器
600787,中储股份
600375,星马汽车
600203,福日电子
600790,轻纺城
600193,创兴置业
601618,中国中冶
600874,创业环保
600797,浙大网新
600297,美罗药业
600525,长园集团
600111,包钢稀土
600657,信达地产
600251,冠农股份
600633,*ST白猫
600313,*ST中农
600727,*ST鲁北
600898,*ST三联
600307,酒钢宏兴
600870,ST厦华
600741,华域汽车
600130,ST波导
600076,ST华光
600234,ST天龙
600887,伊利股份
600728,*ST新太
600225,天津松江
600259,广晟有色
600831,广电网络
600786,东方锅炉
600625,PT水  仙
600813,ST鞍一工
600669,*ST鞍 成
600878,*ST北 科
600632,华联商厦
600709,ST生  态
600627,上电股份
600762,S*ST金荔
600065,*ST联 谊
600296,S 兰  铝
600181,*ST云 大
600472,包头铝业
600772,S*ST龙昌
600092,S*ST精密
600231,凌钢股份
600205,S 山东铝
600286,S*ST国瓷
600799,*ST龙 科
600659,*ST花 雕
600852,*ST中 川
600672,*ST华 圣
600788,*ST达 曼
600700,*ST数 码
600752,*ST哈 慈
600899,*ST信 联
600002,齐鲁退市
601888,中国国旅
600001,邯郸钢铁
600357,承德钒钛
600991,广汽长丰
600507,方大特钢
600275,ST昌鱼
600604,ST二纺
601299,中国北车
600613,永生投资
600508,上海能源
600339,天利高新
600066,宇通客车
600367,红星发展
600675,中华企业
600352,浙江龙盛
600108,亚盛集团
600376,首开股份
600104,上海汽车
600230,沧州大化
600865,百大集团
600884,杉杉股份
600057,*ST夏新
600053,中江地产
600853,龙建股份
600897,厦门空港
600326,西藏天路
600133,东湖高新
600886,国投电力
600780,通宝能源
600614,鼎立股份
600707,彩虹股份
600895,张江高科
600526,菲达环保
600828,成商集团
600288,大恒科技
600965,福成五丰
600218,全柴动力
600322,天房发展
600575,芜湖港
600265,景谷林业
600007,中国国贸
600802,福建水泥
600673,东阳光铝
600120,浙江东方
600220,江苏阳光
600210,紫江企业
600652,爱使股份
600642,申能股份
601001,大同煤业
600401,*ST申 龙
600767,运盛实业
600027,华电国际
600148,长春一东
600990,四创电子
600693,东百集团
600255,鑫科材料
600550,天威保变
600580,卧龙电气
600766,园城股份
600856,长百集团
600029,南方航空
600561,江西长运
600649,城投控股
600549,厦门钨业
600900,长江电力
600262,北方股份
600238,海南椰岛
600461,洪城水业
600283,钱江水利
600863,内蒙华电
600139,西部资源
600655,豫园商城
600650,锦江投资
600776,东方通信
600643,爱建股份
600239,云南城投
600840,新湖创业
600481,双良节能
600048,保利地产
600838,上海九百
600647,同达创业
600383,金地集团
600069,银鸽投资
600336,澳柯玛
600721,ST百花
600566,洪城股份
600821,津劝业
600436,片仔癀
600567,山鹰纸业
600399,抚顺特钢
600330,天通股份
600768,宁波富邦
600623,双钱股份
600750,江中药业
600261,浙江阳光
600791,京能置业
600724,宁波富达
600973,宝胜股份
600439,瑞贝卡
600537,海通集团
600522,中天科技
600731,湖南海利
600979,广安爱众
600273,华芳纺织
600377,宁沪高速
600463,空港股份
600102,莱钢股份
600645,ST中源
600062,双鹤药业
600257,大湖股份
600640,中卫国脉
600332,广州药业
600379,宝光股份
600151,航天机电
600684,珠江实业
600848,自仪股份
600359,新农开发
600068,葛洲坝
600418,江淮汽车
600681,S*ST万鸿
600698,ST轻骑
600845,宝信软件
600502,安徽水利
600187,ST国中
600784,鲁银投资
600488,天药股份
600128,弘业股份
600466,迪康药业
600125,铁龙物流
600738,兰州民百
600246,万通地产
600594,益佰制药
600648,外高桥
600889,南京化纤
600547,山东黄金
600486,扬农化工
600106,重庆路桥
600103,青山纸业
600323,南海发展
600325,华发股份
601801,皖新传媒
600546,山煤国际
600860,*ST北人
600487,亨通光电
600253,天方药业
600080,*ST金花
600209,*ST罗顿
600455,*ST博通
601106,中国一重
600079,人福医药
600373,*ST鑫新
600773,西藏城投
600490,*ST合臣
600372,*ST昌河
600988,*ST宝龙
600538,*ST国发
600694,大商股份
600634,*ST海鸟
600608,*ST沪科
600872,中炬高新
600607,上实医药
600185,格力地产
600842,中西药业
600136,道博股份
600562,*ST高陶
600094,*ST华 源
600699,*ST得亨
600179,*ST黑化
600131,*ST岷电
600091,*ST明科
600145,*ST四维
600617,*ST联华
600609,*ST金杯
600740,*ST山焦
600757,*ST源发
600722,*ST金化
601688,华泰证券
600444,*ST国通
600355,*ST精伦
600077,*ST百科
600984,*ST建机
600515,*ST筑信
601607,上海医药
601117,中国化学
601369,陕鼓动力
600745,中茵股份
600810,神马股份
600691,*ST东碳
600769,*ST祥龙
600701,工大高新
600421,ST国药
600658,电子城
600716,凤凰股份
600340,ST国祥
600223,鲁商置业
600084,*ST中葡
601268,二重重装
601989,中国重工
600299,*ST新材
600242,ST华龙
600817,*ST宏盛
600085,同仁堂
600885,*ST力阳
601877,正泰电器
600170,上海建工
601678,滨化股份
600003,ST东北高
600301,*ST南化
600462,*ST石岘
600217,*ST秦岭
601518,吉林高速
601139,深圳燃气
601158,重庆水务
601179,中国西电
600428,中远航运
600328,兰太实业
600388,龙净环保
600236,桂冠电力
600159,大龙地产
600844,丹化科技
600281,太化股份
600380,健康元
600775,南京熊猫
600963,岳阳纸业
600743,华远地产
600781,上海辅仁
600792,ST马龙
600717,天津港
600389,江山股份
600095,哈高科
600351,亚宝药业
600183,生益科技
600358,国旅联合
600605,汇通能源
600800,ST磁卡
600107,美尔雅
600206,有研硅股
600711,ST雄震
600143,金发科技
600579,ST黄海
600480,凌云股份
600370,三房巷
600983,合肥三洋
600881,亚泰集团
600452,涪陵电力
600316,洪都航空
600188,兖州煤业
601006,大秦铁路
601111,中国国航
600369,西南证券
600692,亚通股份
600805,悦达投资
600832,东方明珠
600758,红阳能源
600993,马应龙
600055,万东医疗
600730,中国高科
600882,大成股份
600733,S前锋
600229,青岛碱业
600862,南通科技
600630,龙头股份
600155,*ST宝硕
600038,哈飞股份
600435,中兵光电
600078,澄星股份
600621,上海金陵
600196,复星医药
600363,联创光电
600271,航天信息
600391,成发科技
600629,棱光实业
600083,ST博信
600582,天地科技
600256,广汇股份
600671,天目药业
600834,申通地铁
600806,昆明机床
600327,大厦股份
600662,强生控股
600141,兴发集团
600518,康美药业
600688,S上石化
600742,一汽富维
600713,南京医药
600539,狮头股份
600571,信雅达
600192,长城电工
601007,金陵饭店
601998,中信银行
601008,连云港
600477,杭萧钢构
600197,伊力特
600156,华升股份
600116,三峡水利
601727,上海电气
601107,四川成渝
601788,光大证券
600050,中国联通
600449,赛马实业
600851,海欣股份
600555,九龙山
600289,亿阳信通
600356,恒丰纸业
600433,冠豪高新
600005,武钢股份
600018,上港集团
600873,五洲明珠
600153,建发股份
600467,好当家
600516,方大炭素
600000,浦发银行
600419,ST天宏
600081,东风科技
600202,哈空调
600438,通威股份
600888,新疆众和
600306,商业城
600365,通葡股份
600756,浪潮软件
600637,广电信息
600573,惠泉啤酒
600577,精达股份
600118,中国卫星
600035,楚天高速
600702,沱牌曲酒
600280,南京中商
600894,广钢股份
600635,大众公用
600311,荣华实业
600403,欣网视讯
600732,上海新梅
600186,莲花味精
600896,中海海盛
600532,华阳科技
600309,烟台万华
600252,中恒集团
600823,世茂股份
600350,山东高速
600980,北矿磁材
600855,航天长峰
600985,雷鸣科化
600228,昌九生化
600826,兰生股份
600606,金丰投资
600019,宝钢股份
600219,南山铝业
600602,广电电子
600315,上海家化
600493,凤竹纺织
600789,鲁抗医药
600331,宏达股份
600631,百联股份
600410,华胜天成
600312,平高电气
600536,中国软件
600624,复旦复华
600371,万向德农
600505,西昌电力
600337,美克股份
600962,国投中鲁
600063,皖维高新
600129,太极集团
600559,老白干酒
600329,中新药业
600150,中国船舶
600298,安琪酵母
600346,大橡塑
600285,羚锐制药
601168,西部矿业
600678,ST金顶
600269,赣粤高速
600425,青松建化
600793,ST宜纸
600366,宁波韵升
600871,S仪化
600861,北京城乡
600739,辽宁成大
600362,江西铜业
600992,贵绳股份
600685,广船国际
600475,华光股份
600101,明星电力
600161,天坛生物
600158,中体产业
600135,乐凯胶片
600506,*ST香梨
600476,湘邮科技
600770,综艺股份
600215,长春经开
600551,时代出版
600798,宁波海运
600599,熊猫烟花
600583,海油工程
600302,标准股份
600857,工大首创
600284,浦东建设
600600,青岛啤酒
600978,宜华木业
600067,冠城大通
600710,常林股份
600867,通化东宝
600651,飞乐音响
600754,锦江股份
600764,中电广通
600966,博汇纸业
600638,新黄浦
600415,小商品城
600612,老凤祥
600587,新华医疗
600588,用友软件
600843,上工申贝
600712,南宁百货
600628,新世界
600725,云维股份
600495,晋西车轴
600395,盘江股份
600423,柳化股份
600290,华仪电气
600774,汉商集团
601666,平煤股份
601872,招商轮船
601991,大唐发电
600496,精工钢构
600737,中粮屯河
600207,ST安彩
600292,九龙电力
600184,新华光
600690,青岛海尔
600500,中化国际
600004,白云机场
600654,飞乐股份
600123,兰花科创
600760,东安黑豹
600975,新五丰
600982,宁波热电
600317,营口港
600489,中金黄金
600761,安徽合力
600167,联美控股
600553,太行水泥
600279,重庆港九
600818,中路股份
600448,华纺股份
600509,天富热电
600703,三安光电
600429,三元股份
600967,北方创业
600676,交运股份
600345,长江通信
600353,旭光股份
600619,海立股份
600679,金山开发
600469,风神股份
600138,中青旅
600333,长春燃气
600491,龙元建设
600869,三普药业
600827,友谊股份
600682,南京新百
600166,福田汽车
600746,江苏索普
600568,中珠控股
600191,华资实业
600734,实达集团
600021,上海电力
600152,维科精华
600016,民生银行
601333,广深铁路
601628,中国人寿
601002,晋亿实业
601166,兴业银行
601003,柳钢股份
601005,重庆钢铁
601318,中国平安
600260,凯乐科技
600597,光明乳业
600736,苏州高新
600726,华电能源
600052,浙江广厦
600683,京投银泰
600300,维维股份
600028,中国石化
600378,天科股份
600058,五矿发展
600039,四川路桥
600468,百利电气
600705,S*ST北亚
600847,ST渝万里
600744,华银电力
600660,福耀玻璃
600163,福建南纸
600751,SST天海
600320,振华重工
600620,天宸股份
600122,宏图高科
600814,杭州解百
600590,泰豪科技
600360,华微电子
600986,科达股份
600397,安源股份
600687,刚泰控股
600765,中航重机
600858,银座股份
600820,隧道股份
600241,时代万恒
600169,太原重工
600483,福建南纺
600866,星湖科技
600616,金枫酒业
600100,同方股份
600232,金鹰股份
600839,四川长虹
600795,国电电力
600479,千金药业
600510,黑牡丹
600668,尖峰集团
600270,外运发展
600416,湘电股份
600825,新华传媒
600644,乐山电力
600674,川投能源
600293,三峡新材
601328,交通银行
601600,中国铝业
600248,延长化建
601919,中国远洋
600247,成城股份
600533,栖霞建设
600121,郑州煤电
600073,上海梅林
601668,中国建筑
600446,金证股份
600213,亚星客车
600822,上海物贸
600880,博瑞传播
600405,动力源
600875,东方电气
600593,大连圣亚
600529,山东药玻
600557,康缘药业
600338,ST珠峰
600126,杭钢股份
600501,航天晨光
600581,八一钢铁
600054,黄山旅游
600680,上海普天
600876,ST洛玻
600458,时代新材
600343,航天动力
600778,友好集团
600172,黄河旋风
600779,水井坊
600198,大唐电信
600601,方正科技
600199,金种子酒
600061,中纺投资
600117,西宁特钢
600031,三一重工
600400,红豆股份
600615,丰华股份
600572,康恩贝
600087,长航油运
600089,特变电工
600319,亚星化学
600137,浪莎股份
600263,路桥建设
600064,南京高科
600249,两面针
600664,哈药股份
600037,歌华有线
600335,鼎盛天工
600149,*ST建通
600097,开创国际
600808,马钢股份
600879,航天电子
600569,安阳钢铁
600250,南纺股份
600266,北京城建
600497,驰宏锌锗
600846,同济科技
600240,华业地产
600422,昆明制药
600160,巨化股份
600841,上柴股份
600056,中国医药
600661,新南洋
600114,东睦股份
600563,法拉电子
600719,大连热电
600548,深高速
600891,SST秋林
600540,新赛股份
600519,贵州茅台
600697,欧亚集团
600392,太工天成
600235,民丰特纸
600381,ST贤成
600227,赤天化
600704,中大股份
600406,国电南瑞
600530,交大昂立
600176,中国玻纤
600093,禾嘉股份
600195,中牧股份
600426,华鲁恒升
600748,上实发展
600268,国电南自
600528,中铁二局
600610,SST中纺
600596,新安股份
600565,迪马股份
600088,中视传媒
600022,济南钢铁
600278,东方创业
600686,金龙汽车
600535,天士力
600175,美都控股
600015,华夏银行
600512,腾达建设
600689,上海三毛
600783,鲁信高新
600233,大杨创世
600531,豫光金铅
600570,恒生电子
600354,敦煌种业
601009,南京银行
600112,长征电气
600165,宁夏恒力
600592,龙溪股份
600168,武汉控股
600576,万好万家
600714,ST金瑞
600763,通策医疗
600127,金健米业
600809,山西汾酒
600706,ST长信
600618,氯碱化工
600578,京能热电
600829,三精制药
600075,新疆天业
600173,卧龙地产
600560,金自天正
600243,青海华鼎
600211,西藏药业
600997,开滦股份
600804,鹏博士
600811,东方集团
600171,上海贝岭
600110,中科英华
600715,ST松辽
600777,新潮实业
600830,香溢融通
600216,浙江医药
601699,潞安环能
601588,北辰实业
600017,日照港
601398,工商银行
600012,皖通高速
600859,王府井
600556,*ST北生
600970,中材国际
600385,ST金泰
600030,中信证券
600396,金山股份
600517,置信电气
600287,江苏舜天
601169,北京银行
601939,建设银行
601808,中海油服
601988,中国银行
601088,中国神华
600598,北大荒
600318,巢东股份
600520,三佳科技
600708,海博股份
600099,林海股份
600178,东安动力
600626,申达股份
600303,曙光股份
600837,海通证券
600258,首旅股份
600072,中船股份
600113,浙江东日
600036,招商银行
600010,包钢股份
600771,ST东盛
600759,正和股份
600146,大元股份
600653,申华控股
600368,五洲交通
600816,安信信托
600310,桂东电力
600459,贵研铂业
600082,海泰发展
600200,江苏吴中
600321,国栋建设
600020,中原高速
600393,东华实业
601857,中国石油
601390,中国中铁
601918,国投新集
601866,中海集运
601999,出版传媒
601601,中国太保
601099,太平洋
600051,宁波联合
600409,三友化工
600877,中国嘉陵
600611,大众交通
600011,华能国际
600543,莫高股份
600478,科力远
600995,文山电力
600277,亿利能源
600785,新华百货
600201,金宇集团
600720,祁连山
600157,鲁润股份
600558,大西洋
600070,浙江富润
600485,中创信测
600308,华泰股份
600470,六国化工
600096,云天化
600386,北巴传媒
600960,滨州活塞
600864,哈投股份
600432,吉恩镍业
600586,金晶科技
600850,华东电脑
600226,升华拜克
600835,上海机电
600801,华新水泥
600812,华北制药
600499,科达机电
600584,长电科技
600348,国阳新能
600071,凤凰光学
600585,海螺水泥
600521,华海药业
600482,风帆股份
600755,厦门国贸
601898,中煤能源
601958,金钼股份
601899,紫金矿业
600387,海越股份
601186,中国铁建
600729,重庆百货
600305,恒顺醋业
600189,吉林森工
600961,株冶集团
600177,雅戈尔
600237,铜峰电子
600006,东风汽车
600119,长江投资
600408,安泰集团
600677,航天通信
600718,东软集团
600460,士兰微
600794,保税科技
600090,啤酒花
600987,航民股份
600208,新湖中宝
600803,威远生化
600182,S佳通
600295,鄂尔多斯
600893,航空动力
600622,嘉宝集团
600695,大江股份
600824,益民商业
600836,界龙实业
600723,西单商场
600267,海正药业
600636,三爱富
600749,西藏旅游
600815,厦工股份
600641,万业企业
600523,贵航股份
600513,联环药业
600819,耀皮玻璃
600180,*ST九发
600008,首创股份
600807,天业股份
600833,第一医药
600552,方兴科技
600527,江南高纤
600382,广东明珠
600222,太龙药业
600656,ST方源
601766,中国南车
600782,新钢股份
600498,烽火通信
600969,郴电国际
600666,西南药业
600272,开开实业
600221,海南航空
600589,广东榕泰
600212,江泉实业
600868,ST梅雁
600747,大连控股
600132,重庆啤酒
600595,中孚实业
600190,锦州港
600456,宝钛股份
600098,广州控股
600398,凯诺科技
600511,国药股份
600796,钱江生化
600026,中海发展
600109,国金证券
600639,浦东金桥
600059,古越龙山
600976,武汉健民
600361,华联综超
600276,恒瑞医药
600735,新华锦
601000,唐山港
600892,ST宝诚
600890,ST中房
601288,农业银行
